2000575029008,COMMUNICATION BOOK / NOTICES - Please initial once you have read ,Images,Lyn,Emma B,Sayba,Yanna,Lucy,Victoria,Angie,Andy,Alex,Tammy
23.08.25,folks please be careful with Izipizi. Normal size: $79.95 ; Normal size POLARISED: 99.95 ; Bigger size: 99.95 (PLEASE GIVE THE CUSTOMER THE RIGHT BOX) Thanksss,,ls,EB,sz,,,,al,ah,,rp
,,,,,,,,,,,,
23.08.25,"heya, if a customer wants something from the window display, they can do so, but just remember to replace the thing that you took with either the same item or another item that matches or is on theme with its neighbouring items. (ex: mug with mugs; same brand; etc) just remember not to put duplicate items/designs. please don't leave the space empty. Thank youuuu",,Ls,EB,sz,,,,al,ah,,rp
,,,,,,,,,,,,
12.8.25,Strawberry mugs & Capybara mugs are in boxes in cupboard by western window,,ls,EB,sz,,,vc,al,ah,,rp
,,,,,,,,,,,,
03.08.25,We're moving the card stand to near the front door,,ls,EB,sz,,,vc,al,ah,,rp
,,,,,,,,,,,,
02/08/25,Please tag the izipizi glasses on the edges so they balance right . ALSO ALL SECURITY TAGS ON THE SAME WING.-,,ls,EB,sz,,,vc,al,ah,,
,,,,,,,,,,,,
02/08/25,"Please dont keep any items on the counter for sale as such the shopping bags, as customer supposed to keep product there to buy. ITS UPSELLING. WE ASK THE CUSTOMER IF THEY NEED A SHOPPING BAG WHEN THEY ARE MAKING A PURCHASE. SAME WITH GREETING CARDS.",,ls,EB,sz,,,,al,ah,,
,,,,,,,,,,,,
28.7.25,kind reminder to empty the vacuum after every use. this prevents serious blockages. there is a bamboo stick beside rubbish bin to  clear anything stuck inside.,,ls,EB,sz,,,vc,al,ah,,
,,,,,,,,,,,,
26.07.25,"Heya, when it comes to security tag, please don't stick the stickers to the items as it will leave residue and marks (esp books) please stick them to their tags, boxes/plastic packaging. If they do not come with either one of them, then you do not have to tag them. Thanks :)",,ls,EB,sz,,,vc,al,ah,,
,,,,,,,,,,,,
21/7/25,"Gentle reminder, when topping u the till please prioritize getting notes eg  ( $20, $10,$5) over lots of rolls of coins pls. It can mean we end up with a shortage of notes after close and heaps of 20c coins :)USE THE COINS UP INTHE BANKING IF THERE ARE TOO MANY. ",,,EB,,,,,al,ah,,
,,,,,,,,,,,,
15.07.25,Please write in the 'Customer Requests' QV Daily if you have contacted the customer.,,ls,EB,sz,,,vc,al,AH,,
,,,ls,EB,sz,,,vc,al,AH,,
15.7.25,kind reminder to send End of Day screen shot to accounts and to enter cash sales in cash sheet,,,,,,,,,,,
,,,ls,EB,sz,,,vc,al,AH,,
7.7.25,"Kaew is away on holiday for 3 weeks with a 3 hour time difference. still available for help, but use whatsapp so it doesnt cost anything to text her.",,,,,,,,,,,
,,,ls,EB,sz,,,vc,al,AH,,
30/06/25,"Hi guys, MUSIC BOXES are now in cabinet O,P, and S. The cardboard cartons have been moved to A,B n C. Spare hangers are in cabinet 7",,,,,,,,,,,
,,,ls,EB,sz,,,vc,al,AH,,
25/06/2025,"Hello, before selling anything salt and pepper related, double check you have one of each. For example the porcelain swans we have only two salts left (salts have three holes), but 6 peppers left (peppers have 2 holes). Peppers have fewer holes as a general rule of thumb.",,,,,,,,,,,
,,,ls,EB,sz,,,vc,al,AH,,
24/06/25,If anyone’s asking about the Aussie Animals music box – we’ll be restocking in late August!,,ls,EB,sz,,,vc,al,AH,,
,,,,,,,,,,,,
13/0625,Someone please go do the induction for the bin comactor in dock 1 on weekday - this has been done by 2 staff already,,ls,EB,sz,,,vc,al,AH,,
11.6.25,kind reminder: customer requests - enter name and contact details of customer into 'Customer Requests' QV Daily. Notify customer when item comes in :),,,,,,,,,,,
,,,ls,EB,sz,,,vc,al,AH,,
27/05/25,Make sure there's a Smart Pot inside the Wonderful Life planter box before we sell it (also check the ocean magnets sold in the little boxes),,,,,,,,,,,
,,,ls,EB,sz,,,vc,al,AH,,
21/05/25,Please read *NEW TSHIRT BATCH*  email!!!,,,,,,,,,,,
,,,ls,EB,sz,,,vc,YAYYYYY,AH,,
13/05/25,Swan Salt and Pepper Shakers- please make sure to sell them as a set ,,,,,,,,,,,
,,,ls,EB,,,,vc,al,AH,,
9.05.25,Hi guys we have gloves for the bin,,,,,,,,,,,
,,,ls,EB,sz,,,vc,al,AH,,
6/5/25,to the tree earring come with a paper cover. its next to short story star wars jar,,,,,,,,,,,
,,,ls,EB,sz,,,vc,al,AH,,
5/5/25,"New Bin Compactor: New Swipe Card for STAFF TOILET and BIN COMPACTOR .  How to Use BIN: 1. Open Door- Push then Hard PULL (hard to open) 2. Take bin out of cage, pull it out of the platform  3. Dump bag and push bin back in centered 4. Close Door Swipe Card 4. Press and hold lift button until bin is empty 5. Press and hold down button untill bin is at the bottm and steel lever at the backk disappears. DONE (Ask Dock Master for a quick tutorial if youre confused)  ",,,,,,,,,,,
,,,ls,EB,sz,,,vc,al,AH,,
3/5/25,the big magnet stolen. please use the pin security tag and not the loop one UPDATE: we are using the centreway magnet now,,,,,,,,,,,
,,,ls,EB,sz,,,vc,al,AH,,
30/04/25,"there's a customer called Sam who would be swapping Salt and Pepper Set: Australian birds set, i have already put it on the on hold cabinet",,,,,,,,,,,
,,,ls,EB,sz,,,vc,al,,,
22.4.25,Palimals - i have reboxed some of these as customers pick them up and drop them. they are becoming chipped. we dont need to have all of them on display.,,,,,,,,,,,
,,,ls,EB,sz,,,vc,al,,,
15/04/25,The security doors are now working! But the security tagged items need to be 2 Metres away from them as they are very senstive. So no security tags on the bamboozled socks but that stand is fine in front of it.,,,,,,,,,,,
,,,ls,EB       yay!,sz,,,vc,al,,,
11/04/25,"there's a customer request for nanoblock kagaroo and koala(currently being transferred from another store) she said if no kangaroo ,she would be happy to take the Nanoblock Big Kangaroo & Joey instead.(i have already set aside the item on the on hold cabinet) ",,,,,,,,,,,
,,,ls- thanks,EB,sz,,,,done><!!,,,
08/04/25,"The new mop manual/instructions, spare heads, water cup and scent discs are in the cupboard where the bin is! ",,,,,,,,,,,
,,,ls,EB,sz,,,vc,al,,,
06.04.25,"there's a customer called Sam who would be swapping the padywax lighthouse, please check the email and reply them back. i have already set aside the item on the on hold cabinet, thanks",,,,,,,,,,,
,,,if i may suggest to take a photo of them (esp the old lady and the creepy man) so we can easily report them to security,EB,sz,,,vc,al,,,
06.04.25,"hiya, the easter felt (chicks, duck, etc) came with a pouch that i have put on your right (near the tissue box). please give them when customer are purchasing it, there's a barcode there",,,,,,,,,,,
,,,ls,EB,sz,,,vc,al,,,
18.3.25,hi people! there has been more attempted music box theft Please keep an eye on the front of the store and type times and appearance of suspicious activity on sticky note on desktop and tell Kaew/Lance. It's really important to have a paper trail. thankyou,,,,,,,,,,,
,,,ls,EB,sz,,,vc,al,,,
17.3.25,coins and notes must not be damaged as the bank won't accept defaced money. please do not accept any damaged or foreign money from customer,,,,,,,,,,,
,,,ls,EB,sz,,,vc,al,,,
17.3.25,the sim card has been taken out of eftpos machine. zellar tech recommends using it without the sim. the sim cards is in a paper bag in top left drawer.,,,,,,,,,,,
,,,ls,EB,sz,,,vc,al,,,
16/03/24,PLEASE DO NOT put music box or demos outside of the cabinets or display window (music box lady steals them),,,,,,,,,,,
,,,ls,EB,sz,,,vc,al,,,
11.3.25,Fixing pricing gun tutorial: https://www.bing.com/videos/riverview/relatedvideo?&q=pricing+gun+refill&&mid=DBBDED0F89C1A02B8594DBBDED0F89C1A02B8594&&FORM=GVRPTV ,,,,,,,,,,,
,,,ls,EB,sz,,,,,,,
11.3.25,more boxed kangaroo vases are on shelf by planters  underneath,,,,,,,,,,,
,,,ls,EB,sz,,,vc,al,,,
8/3/25,PLEASE ASK FOR ZELLAR ROLLS BEFORE THEY RUN OUT,,,,,,,,,,,
,,,ls,EB,sz,,,vc,al,,,
28/02/25,"Theres one missing box from todays delivery, TRF-818663, when it comes please scan it onto the sheet and sort it",,,,,,,,,,,
,,,ls,EB,sz,,,vc,al,,,
11/2/25,There are a couple of Kangaroos from the salt and pepper sets that have a chip on the ear. Kaew will send some clear nail varnish to put on the chip to stop it chipping further this week!,,,,,,,,,,,
,,,ls,EB,sz,,,vc,al,,,
10.2.25,"QV promotion until 9th March - please read information sheet kept just inside top right drawer, and encourage customers to participate.",,,,,,,,,,,
,,,ls,EB,sz,,,vc,al,,,
8/2/25,mop replacement beside melamine plates ,,,,,,,,,,,
,,,ls,EB,sz,,,vc,al,,,
8.02.25,Extra Happy Socks in Cabinet J with jumpers,,,,,,,,,,,
,,,ls,EB,sz,,,vc,al,,,
3.2.25,There are containers in the kids clothes storage cupbords now! yay! Please maintain the system to keep it organised! Thanks,,,,,,,,,,,
,,,ls,EB,sz,,,vc,al,,,
